document_id,project_id,project_name,publish_date,outlet,title,author
KOMPCO0020241023ekan0010d,P162,Morowali / IMIP nickel smelters,2024-10-24,Koran Tempo,Eksploitasi Pekerja di Industri Nikel,"1,010 words"
TEMPID0020241025ekao0002x,P029,General,2024-10-25,Kompas.id,Ekonomi,"Buruh Industri Hidup dari Utang ke Utang FX LAKSANA AGUNG SAPUTRA 1,266 words"
KOMPID0020241025ekap0028l,P029,General,2024-10-31,The Jakarta Post,"East Asia, ASEAN and Pacific demand Prabowo's attention","1,076 words"
JKPOST0020241030ekav0000h,P095,Giant Sea Wall (Jakarta–Gresik),2024-10-31,Tempo.co,Prabowo Instructs Minister to Expedite Giant Sea Wall Construction,
TEMPOE0020241031ekav000b7,P029,General,2024-10-31,Kompas.id,Ekonomi,"Hilirisasi dan Target Pertumbuhan FX Laksana Agung Saputra 1,569 words"
KOMPID0020241031ekav00335,P029,General,2024-10-31,Kompas.id,Politik & Hukum,"Imigrasi Periksa 26 TKA asal China yang Datang ke Sultra Nasrullah Nara 1,057 words"
KOMPID0020241031ekav00209,P029,General,2024-11-01,Kompas.id,Ekonomi,"Ingin Relokasi Pabrik dari China, 15 Investor Tekstil Jajaki Indonesia FX LAKSANA AGUNG SAPUTRA"
KOMPID0020241101ekb10015p,P029,General,2024-11-04,The Jakarta Post,Indonesia should be careful of the (unnecessary) BRICS trap,
JKPOST0020241103ekb400007,P217,Whoosh (Jakarta–Bandung HSR),2024-11-07,The Jakarta Post,A new journey in the China-Indonesia relationship: Building a shared,future
JKPOST0020241106ekb70000b,P029,General,2024-12-01,Kompas.id,Ekonomi,"Hilirisasi: Nikel Jadi Harapan, Batubara Temui Hambatan Muhammad Fajar Marta 1,038 words"
KOMPID0020241201ekc10008d,P029,General,2024-12-02,Kompas.id,Opini,"Keberlanjutan Pembangunan Infrastruktur SRI HARTATI SAMHADI, YOHANES KRISNAWAN"
KOMPID0020241202ekc2005k4,P029,General,2024-12-12,The Jakarta Post,Insight: Trump's second term could deepen Indonesia-China relations,"1,006 words"
